SYMBOL,DATE,STOP_LOSS,VOLUME_PERCENT,RED_BODY_PERCENT

MANORAMA,02-Jan-2024,1881.0,1637.0893371757925,90.207100591716
ESSENTIA,09-Jan-2024,10.5,734.4307321317807,92.49999999999999
01BBTC,25-Jan-2024,1528.4,100.17505533774106,86.78537956888479
MARSHALL,07-Feb-2024,38.55,288.313703734247,58.41584158415828
AKZOINDIA,15-Mar-2024,2267.0,115.50565173307297,79.66922146026636
ARCHIDPLY,15-Mar-2024,76.15,106.79235440962778,96.02272727272718
RELINFRA,15-Mar-2024,181.6,63.93044017211171,81.02564102564101
MTNL,02-Apr-2024,32.45,-18.07838617184191,64.15094339622655
SHYAMCENT,02-Apr-2024,16.6,124.93890778551149,92.85714285714299
JASH,14-May-2024,1953.05,4.258071854073958,81.1627316577811
TARC,18-May-2024,146.8,241.12877067791112,65.19999999999982
MADHAV,22-May-2024,41.2,-75.68932038834951,100.0
ABSLAMC,06-Jun-2024,517.35,-46.453966548699405,90.43062200956938
BAJAJELEC,06-Jun-2024,820.15,-75.71604402326464,64.47540269917278
BBTC,06-Jun-2024,1318.2,49.100408713605525,67.33021077283374
CANFINHOME,06-Jun-2024,680.0,49.690123645245,73.73527373527365
HDFCLIFE,06-Jun-2024,511.4,5.614319162923549,47.13302752293565
HIMATSEIDE,06-Jun-2024,116.7,69.75488604738386,82.46445497630336
LUMAXTECH,06-Jun-2024,424.05,-21.53138456231817,44.57831325301208
MANAPPURAM,06-Jun-2024,156.1,79.13703653215322,79.4594594594594
MANGCHEFER,06-Jun-2024,94.4,41.6040476564224,69.99999999999996
NDL,06-Jun-2024,36.1,-2.0294275192289613,61.53846153846154
ROSSELLIND,06-Jun-2024,363.6,6.4611781880113135,64.66165413533841
SHAHALLOYS,07-Jun-2024,51.95,104.04231898238747,93.67088607594935
SILLYMONKS,20-Jun-2024,16.55,15.864489328176479,67.55555555555553
