Entry_Date(YYYY-MM-DD),Symbol,Entry_Price,Buy/Sell,Target,Stoploss,P_L,ROI,Exit_Price,Status,Exit_Date(YYYY-MM-DD)

2024-01-09,SHREERAMA,28.6,Sell,22.880000000000003,31.35,-4.199999999999996,-14.685314685314669,32.8,Stoploss Hit,2024-02-02
2024-01-17,SHIVALIK,689.15,Sell,551.32,774.5,137.82999999999993,19.99999999999999,556.35,Target Reached,2024-03-06
2024-02-08,ASTRAZEN,6569.95,Sell,5255.96,7220.95,1313.9899999999998,19.999999999999996,5404.7,Target Reached,2024-02-13
2024-02-21,URJA,24.5,Sell,19.6,27.7,4.899999999999999,19.999999999999996,20.75,Target Reached,2024-03-14
2024-02-28,IITL,216.2,Sell,172.96,244.0,43.23999999999998,19.999999999999993,175.55,Target Reached,2024-04-25
2024-03-06,WEALTH,480.3,Sell,384.24,571.95,-106.15000000000003,-22.100770351863424,586.45,Stoploss Hit,2024-03-15
2024-03-12,BIOFILCHEM,62.7,Sell,50.160000000000004,74.15,-11.849999999999994,-18.899521531100472,74.55,Stoploss Hit,2024-04-22
2024-03-13,ELECTHERM,571.15,Sell,456.92,594.7,-23.800000000000068,-4.167031427821075,594.95,Stoploss Hit,2024-04-05
2024-05-17,INDSWFTLTD,20.8,Sell,16.64,21.65,-1.0999999999999979,-5.288461538461528,21.9,Stoploss Hit,2024-05-23
2024-05-23,AZAD,1393.65,Sell,1114.92,1544.2,-151.75,-10.888673626807304,1545.4,Stoploss Hit,2024-06-03
